;charada
1530;O que é uma letra A na testa? Um Atestado.
1531;Por que existem camas elásticas no Pólo Norte? Para o urso polar.
1532;O que a areia da praia falou para o mar? Deixa  de  onda.
1533;Como se diferencia um pirata português de outros piratas? O pirata português é aquele que tem tapa olho nos dois olhos.
1534;O que a diarréia falou para o peido? Vai na frente buzinando, que eu estou sem freio.
1535;Quando você sabe o que sou, não sou. Quando você não sabe o que sou, eu sou. Quem sou? Uma charada.
1536;Por que o português procura goiabada em pó? Para comer com queijo ralado.
1537;O que o Batman disse para o homem invisível? Quanto tempo não te vejo.
1538;O que é uma casa verde, dentro da casa verde tem uma casa de palha, dentro da casa de palha tem uma casa branca, e dentro da casa branca tem um tanque d'água? O coco.
1539;Qual é a diferença entre a sogra e a cobra? As cobras não tem tantas rugas.
1540;Qual a diferença entre o radio e o penico? O radio fala tudo e não vê nada, o penico vê tudo e não fala nada.
1541;O que é que se coloca na mesa, corta-se, recorta-se e não se come? O baralho.
1542;Onde o Batman conheceu o Robin? No bat-papo.
1543;Um homem comeu um quilo de alho e depois escovou os dentes. Qual o nome do filme? Mudança de Hálito.
1544;Em um barco tinha três homens, o barco virou. Por que só dois molharam o cabelo? Porque o terceiro era careca.
1545;Três caixa de leite estavam atravessando a rua, mas um carro as atropelou. Por que só duas morreram? Porque uma era leite longa vida.
1546;O que o vidro disse para a vidra? Estou vidrado em você.
1547;O que é que tem boca na barriga e vive com a corda no pescoço? O violão.
1548;O que é que só tem seis letras mas leva 36 assentos? O ônibus.
1549;O que é que quanto mais se aumenta menos se vê? A escuridão.
1550;Por que as pilhas são melhores que os homens? Porque pelo menos tem um lado positivo.
1551;Qual a semelhança entre o Papai Noel e o padre? O saco é de brinquedo.
1552;Qual o animal atravessa o rio com um boi na boca? O carrapato.
1553;Como diminuir em 50% a queda de cabelo? Tomando banho agachado.
1554;Qual o animal que come com o rabo? Todos. Porque eles não podem tirar o rabo para comer.
1555;"Qual o monossílabo tônico que começa com a letra ""c"" termina com a letra ""u"" e ora está sujo ora está limpo? Céu."
1556;"O que é que começa com ""C"", tem duas letras, um buraco no meio e eu já dei para várias pessoas? CD."
1557;Qual a diferença entre um bebê com fome e uma porca apaixonada? O bebê chora pelo leitinho e a porca chora pelo leitão.
1558;Qual é a disciplina preferida da vaca? Múúúúúúsica.
1559;Qual a diferença entre o cavalo e o palhaço? O cavalo gosta de palha crua e o palhaço de palhaçada,
1560;Um homem foi a um banheiro e morreu. Qual o nome do filme? A Cagada Final.
1561;O que está no começo da rua, no fim do mar e no meio da terra? A letra R.
1562;Qual a diferença da polícia para o sutiã? É que a polícia prende os bandidos e o sutiã levanta os caídos.
1563;O que é que está no meio do começo, no começo do meio, e no final do fim? A letra M.
1564;Qual a palavra que nunca diz a verdade? Somente.
1565;Qual o nome do peixe que caiu do décimo andar? AaaaaaaaahTum.
1566;O que passa pela cabeça de um inseto quando ele bate no pára-brisa de um carro? As pernas.
1567;Eram dois Toddynhos em cima da mesa, mas um caiu. O que o outro disse? Toddynho.
1568;Um carro foi comprado na África. Qual e o nome do filme? Madagas Car.
1569;O que o clips disse para o ímã? Te acho muito atraente.
1570;Um homem que estava com uma forte diarréia, colocou sua tv na frente do banheiro para assistir o jogo de futebol. Qual o nome do filme? Vi da privada.
1571;Uma orquestra esteve reunida, mas não conseguiu tocar nenhuma música. Qual o nome do filme? Os intocáveis.
1572;O que uma hortelã disse para a outra? Não menta para mim.
1573;O que é que te segue a vida toda, mas é muito tímida no escurinho? A sombra.
1574;O que são cinco pontinhos coloridos no jardim? Os Flower Rangers.
1575;Estavam num elevador o Lula e o Vicentinho, e Vicentinho solta um peido. Qual o nome do filme? O que é isso companheiro?
1576;Um tênis afundou no meio do mar. Qual o nome do filme? TitaNIKE.
1577;Um homem bebeu um Tang laranja e se jogou da Torre Eiffel. Qual o nome do filme? O último tang em Paris.
1578;O que um elevador disse para o outro? Você já pensou em quanta gente fizemos subir na vida?
1579;Por que  um português prendeu dois casais dançando em uma festa? Formação de quadrilha.
1580;Qual o nome do carro que anuncia que vai chover ? Celta preto.
1581;Em uma sorveteria,um sorvete estava brigando com outro. Qual o nome do filme? Creme versus creme.
1582;Qual a semelhança entre uma árvore de natal e um padre? As bolas são só de enfeite.
1583;O que é que tem dezenas de cabeças, mas não pensa? A caixa de fósforo.
1584;O que o travesseiro disse para o ganso? Tô com pena de você.
1585;O que e um pontinho marrom no tapete? Uma amendoim procurando lentes de contato
1586;Por que Manuel levou dez anos pra acabar de compor a canção de ninar? Porque ele sempre dormia no meio.
1587;Por que o português deu água quente para a galinha? Para que botasse ovos cozidos.
1588;Por que o jacaré não passou de ano? Porque ele réptil.
1589;Por que o tomate pegou um empréstimo no banco? Porque ele estava no vermelho.
1590;Qual a semelhança entre um gravador e um aluno preguiçoso? Os dois vivem repetindo.
1591;O que e um pontinho vermelho em cima da geladeira? Uma pimenta suicida.
1592;O que a banana disse para o tomate? Eu que tiro a roupa e você que fica vermelho.
1593;O que é um pontinho preto no microscópio? Um pretozoário.
1594;Por que o português usa um guarda-chuva com pára-raio numa tempestade? Para evitar sequestro-relâmpago.
1595;Qual o pintor que adora a cor rosa na suas obras? Pinkasso.
1596;O que é um tênis no canto do ringue de boxe? Nike Tyson.
1597;Por que a água foi presa? Porque ela matou a sede.
1598;O que é mais  duro quando a gente aprende a patinar? O chão.
1599;Um pontinho vermelho no meio do mar? Um redmuinho.
1600;O que são 4 pontinhos no jardim? Four-migas.
1601;Qual a semelhança entre um chapéu de palha no inverno e um trem em locomoção? Ambos estão fora de estação.
1602;O que um cromossomo disse para o outro? Cromossomos felizes.
1603;Por que nunca roubam a moto do japonês? Por que ele compra yamaha.
1604;Por que o boi muge quando vê uma vaca passar? Porque ele não sabe assobiar.
1605;Um gato saiu à noite para beber. Na manhã seguinte, acordou na casinha do cachorro. Qual o nome do filme? Dormindo com o inimigo.
1606;Um homem tinha como profissão cuidar dos ursos, mas certo dia ele largou a profissão. Qual o nome do filme? O ex-ursista.
1607;Por que o passarinho não bate nos outros animais? Porque ele tem pena.
1608;O que dá a mistura de um macaco com um sanduíche de queijo? Um x-panzé.
1609;O que dá a mistura de uma pulga com a  letra A? Um assaltante.
1610;Por que o japonês não pode ser eletricista? Porque tem um curto no meio das pernas.
1611;Qual a diferença entre o jumento e o chuveiro? Entre debaixo do jumento que você vê a diferença.
1612;Qual a diferença entre um forno e uma lagoa? No forno assa pão e na lagoa há sapinho.
1613;O rei usava um sapato muito liso que escorregava toda hora e fazia ele cair. Qual é o nome do filme? O escorregão rei.
1614;Qual a semelhança de uma sogra e uma onça pintada? Todo mundo quer preservar, mas ninguém quer ter em casa.
1615;O que são vários pontinhos verdes numa quadra de basquete? O Green Team.
1616;O filho e o pai se despediram rapidamente. Qual o nome do filme? Tchau pai, tchau filho.
1617;Numa cidade havia muitas motos Yamaha e só duas Honda. Qual o nome do filme? Poca Honda.
1618;A Ana Maria Braga chamou a Hebe de perua. Qual é o nome do filme? Olha Quem Está Falando.
1619;O que é um pontinho verde em uma mancha branca no fogão? Uma ervilha chorando o leite derramado.
1620;Por que o gato mia para a Lua, mas a Lua não mia para o gato? Porque astronomia.
1621;São sete irmãos, cinco tem sobrenome e dois não. Quem são? Os dias da semana.
1622;Quais são as 4 estações do ano no Nordeste? Verão, Calor, Abafado e Mormaço.
1623;Por que o Papai Noel não pode ter filhos? Porque o saco dele é de brinquedo.
1624;Em um belo dia, formigas decidiram dançar dentro de uma caneta. Qual é o nome do filme? In the pen dance day.
1625;O que tem debaixo do tapete de um hospício? Um doido varrido.
1626;Qual a semelhança entre sabonete de família e festa de criança? Sempre tem um pentelho que ninguém sabe de quem é.
1627;Como se diz topless em japonês? Shen Xu Tian.
1628;O que não anda, mas pode circular o mundo? A notícia.
1629;Qual é o prato que a cozinheira nunca consegue fazer direito? A torta.
1630;O que é um pontinho branco no canto da sala de aula? Uma pipoca de castigo.
1631;O que são dois pontinhos azuis dentro da casinha do cachorro? Um pittblue e um bluedog.
1632;Eu sou eu quando você não sabe quem sou, mas quando você sabe quem sou, eu não sou eu mais. Quem sou eu? Um enigma.
1633;Qual é a diferença entre um pára-quedas e uma camisinha? Quando o pára-quedas falha, é uma pessoa a menos. Quando a camisinha falha, uma pessoa a mais.
1634;O que é um pontinho branco no campo de futebol? Arroznaldinho.
1635;O homem comeu: macarrão, feijoada, bacalhoada, omelete e depois foi ao banheiro. Qual é o nome do filme? O Quinto Elemento.
1636;Qual a diferença entre o padre e o bule? O padre é de muita fé, e o bule é de por café.
1637;Por que o pato tem raiva do cachorro? Por que ele tem 4 patas.
1638;Por que um menino que bebeu leite com veneno não morreu? Porque o leite era longa vida.
1639;O que o tijolo falou pra tijola? Tem um ciumento entre nós.
1640;Qual a semelhança entre um entregador de pizza e um ginecologista? Os dois sentem o cheiro mais não pode comer.
1641;Como o português faz para caçar um coelho? Se esconde atrás da árvore e imita o som de uma cenoura.
1642;"Qual a diferença do vinho português para os outros vinhos europeus? Embaixo da garrafa do vinho português vem escrito: ""A rolha é do outro lado."""
1643;Como português faz leite em pó? Congela o leite e rala.
1644;Por que o português senta na última cadeira do cinema, quando vai assistir uma comédia? Porque quem ri por ultimo ri melhor.
1645;O que fazem 17 portugueses na frente do cinema? Esperam mais um português, pois o filme é proibido para menores de 18.
1646;Um clube pegou fogo em Portugal. Morreram todos carbonizados. Por quê? Não deixaram os bombeiros entrarem pois não eram sócios.
1647;Por que moto-táxi não deu certo em Portugal? Porque não tinha lugar pro passageiro... o cobrador ia junto com o motorista.
1648;Por que o Manuel guarda uma garrafa vazia na geladeira? Porque sempre aparece alguém que não bebe nada na casa dele.
1649;O que dá a mistura de uma tartaruga com um pingüim? Rubinho Barichello de smoking.
1650;O que é um pontinho verde no aeroporto internacional? Um greengo.
1651;O que é um pontinho marrom na pré-história? Um browntossauro.
1652;O que é um pontinho branco no freezer? Um arroz esquimó.
1653;O que é um pontinho verde em uma noiva? Greenalda.
1654;O que é uma porção de pontinhos azuis na floricultura? Bluequê de flores.
1655;O que é um pontinho rosa na árvore? Pinka-pau.
1656;O que é um pontinho azul no aquário? Um Smurf mergulhador.
1657;O que é um pontinho vermelho na porta? Uma maçãneta.
1658;O que é um pontinho azul no céu com dois pontos brilhantes? Um urublue com óculos espelhado.
1659;O que é um pontinho amarelo no parque aquático? Um yellowfante marinho.
1660;O que são quatro pontinhos na parede? Fourmigas.
1661;O que é um pontinho marrom no pulmão? Um brownquio.
1662;O que é um pontinho azul em uma flor? Uma blueboleta.
1663;O que é um pontinho vermelho no meio da parede? Uma acerola alpinista.
1664;O que é um pontinho azul lutando contra um amarelo? É o Bluece Lee contra Jean-Claude Fandango.
1665;O que é um pontinho marrom no Brasil em 1500? Pedro Álvares Cabrown.
1666;O que é um pontinho amarelo no estacionamento? É um Uno Milho.
1667;O que é um pontinho rosa na geladeira? Um gaytorade.
1668;O que são cinco pontinhos pretos no palco, dançando e cantando? Os Black Street Boys.
1669;Por que a aranha viúva negra simplesmente mata o macho logo depois de acasalarem? Para evitar que ele ronque.
1670;O diabo tinha uma mania terrível de ler gibi, quando ia ao cinema. Qual o nome do filme? O Demo leitor.
1671;Um homem foi ao cinema. Ao chegar lá, apareceram 10 meninos e começaram a jogar balas de menta no telão. Qual é o nome do filme? Os Dez Manda mentas.
1672;Quantos portugueses são necessários para colocar um prego na parede? 100 portugueses, 1 para segurar o prego na parede e 99 para empurrar a parede.
1673;Um médico muito louco inventou um remédio que curava a dor antes mesmo dela aparecer. Qual é o nome do filme? O Extermina Dor do Futuro.
1674;Um homem bateu a cabeça na quina de uma mesa e morreu. Qual é o nome do filme? Má quina Mortífera.
1675;Uma família ficou perdida no deserto por 80 dias. Eles acharam um rio e todos tomaram banho, menos a avó. Qual é o nome do filme? A Vó Tá Imunda a 80 Dias.
1676;Dez deputados em assembléia decidindo se haveria ou não aumento no salário deles. Qual é o nome do Filme? Os Dez Manda Aumentos.
1677;Sabe porque o macaco-prego não entra no mar? Porque ele tem medo de tubarão martelo.
1678;O que o bebê porco espinho perguntou para o cacto? É você, mamãe?
1679;O que é um pontinho verde no gelo? Um pingreen.
1680;Por que Deus criou primeiro o Adão depois a Eva? Primeiro o rascunho depois o definitivo.
1681;O homem caiu da moto de bunda. Qual o nome do filme? Em-cu-ralado.
1682;Quem é o tio da construção? Tio Jolo.
1683;Qual a diferença entre a namorada tímida e a chata? A tímida pega na mão e a chata pega no pé.
1684;Por que o português coloca o despertador debaixo do travesseiro quando vai dormir? Para acordar em cima da hora.
1685;Um homem queria entrar no cinema com um litro de álcool, mas o segurança viu e não deixou. O homem foi até na outra rua e pôs o litro de álcool na parte de trás da blusa e entrou com o litro sem que ninguém tivesse visto. Qual é o nome do filme? O Homem De Alcatraz.
1686;Qual a diferença entre uma pulga e um advogado? Um é um parasita que suga o seu sangue, o outro é um pequeno inseto.
1687;Como você sabe que um advogado está mentindo? Seus lábios estão se mexendo.
1688;"Quais são os quatro maiores desejos do homem? Ser tão bonito quanto a mãe dele acha que ele é; transar com todas as mulheres que a esposa acha que ele transa; ser tão rico quanto seu filho acha que ele é; ser tão bom de cama quanto ele acha que é."
1689;Quantas bichas são necessárias para se trocar uma lâmpada? Seis. Uma para dar um grito histérico quando a luz acabar, uma para trocar a lâmpada e quatro para fazerem uma algazarra enorme quando a luz acender.
1690;Qual a semelhança entre o casamento e o submarino? Os dois podem até boiar, mas foram feitos para afundar.
1691;Qual a diferença entre o advogado e a prostituta? A prostituta para de te foder quando acaba o dinheiro.
1692;O que um cão pensa quando vê uma árvore de Natal? Finalmente colocaram luz no banheiro.
1693;O que dá o cruzamento entre um burro e uma tartaruga? Uma loira de capacete.
1694;Como será o Caetano daqui há 20 anos? Velhoso.
1695;Quando é que o lobo mau sente dor de barriga? Quando come a Chapeuzinho Verde.
1696;O que uma nuvem disse pra outra? Nuvem não, nuvem não...
1697;O que nasce verde, vive preto e morre vermelho? Carvão.
1698;Um ator sentou em uma bala de menta. Qual é o nome do filme? Atormentado
1699;Dois monges estavam meditando, mas meditaram tanto que ficaram tão zen que atravessaram um coador de café. Qual é o nome do filme? Os Zen-filtrados.
1700;O que a zebra disse para a pulga? Você esta na minha listra negra.
1701;O que um tobogã disse para outro? Como os anus passam rápido!
1702;Um homem tinha problema de gases, e para que os outros não percebessem seu problema, ele colocou um apito na bunda. Qual é o nome do filme? O Homem Que o Cupiava.
1703;O que dá misturar um homem invisível com um elefante? Um enorme nada.
1704;O que é um pontinho rosa na estrada? É uma Mitsubicha.
1705;Um homem aceitou um desafio de beber 1000 latinhas de Coca-Cola de uma vez, mas ele tomou 999 latas e não agüentava mais. Qual o nome do filme? Mil são impossível.
1706;Cai um sino na churrasqueira. Qual é o nome do filme? Assassino.
1707;Por que a Coca-Cola e a Fanta se dão muito bem? Porque se a Fanta quebra, a Coca-Cola.
1708;O que o Ajinomoto disse para a Ajinomota? Vamos ajinomato?
1709;O que é que só tem alegria quando apanha? Um pandeiro.
1710;Porque o carro elétrico não deu certo em Portugal? Porque nos primeiros cem metros a tomada soltou.
1711;O que o livro de matemática falou para o livro de história? Pare de inventar histórias, porque eu já estou cheio de problemas.
1712;Duas lêndias se apaixonaram. Qual é o nome do filme? Lêndeas da Paixão.
1713;O que esta fazendo o português quando deixa a televisão ligada por um dia? Ele quer ver Tela Quente.
1714;Um rapaz foi ao cinema ver um filme, mas sem perceber sentou em cima de uma bala de menta. Qual é o nome do filme? Documentado.
1715;Por que as plantas não falam? Porque elas são mudinhas.
1716;O que uma garça disse para a outra? Você é uma garcinha.
1717;O pai do Cebolinha comprou três pirulitos para ele. Qual é o nome do filme? Lambo Três.
1718;Por que o menino jogou o relógio pela janela? Para ver o tempo voar.
1719;Qual é a diferença entre uma pizza e uma prostituta? A pizza só dá para 8.
1720;O que dá o cruzamento de um advogado com uma bibliotecária? Toda a informação precisa, mas você não vai entender uma só palavra.
1721;Qual a diferença entre a bicicleta e o banheiro? Na bicicleta a gente senta pra correr e no banheiro a gente corre pra sentar.
1722;"Por que na Argentina, as vacas vivem olhando para o céu? Porque tem ""Boi nos Aires""."
1723;Como se diz hemorróidas em chinês? Ku Shai Shang
1724;Um cão foi ao cinema e na poltrona sentou em um prego. Qual o nome do filme? Fura cão.
1725;Numa festa de aniversário um menino insistiu com o pai para que pegasse uma bexiga para ele estourar. Qual o nome do filme? Tó, estore.
1726;Qual a semelhança de um carro a álcool e o goleiro do seu time? Quando a gente mais precisa, nenhum pega.
1727;Qual é o animal mais justo do mundo? A cobra, porque ela não passa a perna em ninguém.
1728;O que um instrutor de auto escola foi fazer em um show de forró? Ensinar o Frank Aguiar.
1729;O que é um pontinho branco na neve fazendo abdominal? O abdominável homem das neves.
1730;Qual a diferença entre o português burro e o português inteligente? O burro vai na escola, tudo que o professor escreve no quadro ele escreve no caderno, quando o professor apaga, ele também apaga. O inteligente nem escreve, porque sabe que o professor vai apagar.
1731;Um homem iria comprar uma bola. Havia uma azul e uma vermelha. Ele comprou a vermelha. Qual o nome do filme? Largoa Azul.
1732;Um cara sentou em uma cadeira cheia de purpurina. Qual é o nome do filme? Ânus Dourados.
1733;O que é um pontinho marrom no meio do oceano? Um camarrom.
1734;Marina fugiu do hospital, mas foi atropelada por um trenó puxado por 20 mil éguas. Qual o nome do filme? 20 mil Éguas sobre Marina.
1735;O bêbado foi ao bar, levou um copo para casa. Qual é o nome do filme? RoboCop.
1736;O menino tinha um gato chamado Tido. Mas Tido sumiu e o menino foi procurá-lo no cesto. Qual é o nome do filme? Cesto Sem Tido.
1737;O homem caiu de um prédio, mas enquanto ainda estava no ar, viu passando uma gostosa. Qual é o nome do filme? Duro na Queda.
1738;O homem era hortista, ma deixou a profissão. Qual é o nome do filme? O ex-hortista.
1739;Uma freira tinha que colocar supositório em três recém-nascidos. Depois do primeiro supositório, o telefone tocou e ela foi atender. Quando voltou, não se lembrava mais em qual das crianças já havia colocado o supositório. Qual é o nome do filme? Madre Teresa de Qual Cu Tá.
1740;Qual é o tio da cebola? O tiomate.
1741;Como se chama a ferramenta que já se foi? Foice.
1742;Por que o português coloca uma pedra quando ouve um rádio? Para ouvir música pesada.
1743;Qual a diferença entre um homem e um papagaio? Você pode ensinar o papagaio a falar cordialmente.
1744;Por que o Brasil é cheiroso? Porque ele já foi uma colônia.
1745;O que o pires disse para a xícara? Ai, que bundinha quente!
1746;Qual a semelhança entre o padre e o carpinteiro? Os dois pregam.
1747;Por que o Batman perde uma partida de poker? Por causa do Coringa.
1748;O que é surdo, mudo e cego, mas sempre diz a verdade? O espelho.
1749;Qual a semelhança entre um homem e um espermatozoide? Entre milhares, só um ou dois prestam.
1750;Por que o português não entra no ônibus quando esta chovendo? Porque o limpador de para-brisa fica dizendo não.
1751;Como o Batman joga futebol? Ele bat-pênalti, bat-falta, bat-escanteio e bat para o gol.
1752;Qual a diferença entre o elefante e a cama? O elefante é paquiderme e cama é paquidurma.
1753;Qual a semelhança entre homens e o caracol? Ambos se arrastam, tem chifres e pensam que a casa é deles.
1754;Por que sociedades entre portugueses sempre dá certo? Porque um rouba do outro e deposita na conta conjunta.
1755;Qual é a semelhança entre os políticos e as ações? A maioria é ordinária.
1756;O que é um pontinho luminoso no Hospital? Uma ervilha dando a luz.
1757;Por que o Batman colocou o Batmóvel no seguro? Porque ele tem medo que Robin.
1758;O que é um piolho na cabeça de um careca? Sem-teto.
1759;Por que o homem é igual a um cortador de grama? Ou você está empurrando, ou você está dirigindo um.
1760;Qual é a maior injustiça do Natal? É o peru que morre e a missa é do galo!
1761;Qual a diferença da sua sogra para um elefante? Trinta quilos.
1762;Qual é o feminino de: Deitado na sala lendo jornal? De pé na pia lavando louça.
1763;O que se quebra só de se pronunciar o nome? O silêncio.
1764;O que bate na gente o tempo todo, mas a gente nunca reclama? O coração.
1765;O que o espermatozoide disse para o óvulo? Posso morar com você? Porque minha casa é um saco!
1766;O que é um fuio? É um buiaco na paiêde.
1767;Qual o nome da cobra que tem dois ânus? SuruCUCU.
1768;O que é um pontinho amarelo em cima de uma limousine? Um milhonário.
1769;O que da a mistura de uma girafa com um pit bull? Um cão de guarda para sobrado.
1770;Qual a semelhança entre a bota e a calça? A bota a gente calça e a calça a gente bota.
1771;Quem faz, não usa. Quem usa, não vê. Quem vê, não quer usar? Caixão.
1772;Por que o português subiu no coqueiro no dia de chuva? Para ver como a água entra no coco.
1773;O que dá a mistura de uma bicha com um papagaio? Um veado que fala.
1774;Qual a palavra de oito letras que tirando quatro continua oito? Biscoito.
1775;O que o vinho disse para o leite? Minha mãe é uma uva, a sua é uma vaca.
1776;Qual a semelhança entre o cabelo ruim e o ladrão? Se não estão armados estão presos.
1777;Por que a vaca dá leite? Porque ela não sabe vender.
1778;O que dá a mistura de uma tartaruga com um pingüim? Um sorvete de casquinha.
1779;Você sabe porque os portugueses estão arrancando as árvores? Porque estão procurando a raiz quadrada.
1780;Qual a semelhança entre o homem e a menstruação? Quando vem é um saco, mas quando não vem a gente fica preocupada.
1781;Como é que os homens fazem exercício na praia? Encolhendo o estômago e estufando o peito toda vez que passa um biquíni.
1782;O que dá a mistura de uma geladeira e um canguru? Uma bolsa térmica.
1783;No que dá a mistura de uma galinha e uma cobra? Um pinto bem longo.
1784;Como termina um jogo de patos? Empatada.
1785;Qual a semelhança entre um marido e um diploma universitário? Você passa um tempão para consegui-los e depois não sabe o que fazer com eles.
1786;Qual a mistura de um porco espinho e uma cobra? Um arame farpado.
1787;O que é um pontinho amarelo tomando Sol? É um Fandangos querendo virar Baconzitos.
1788;O que é um pontinho preto no avião? Uma aero-mosca.
1789;Qual a diferença da privada e da pilha? A pilha tem carga e a privada descarga.
1790;O que dá a mistura de uma girafa com um papagaio? Um alto-falante.
1791;Por que o português bota um lápis na orelha? Para fazer os cálculos de cabeça.
1792;O que uma impressora disse para outra impressora? Esse papel é seu ou é impressão minha?
1793;Porque o português não pega ônibus? Porque atrás está escrito: Mantenha Distância!
1794;Como a bruxa sai na chuva? De rodo.
1795;Como se faz para transformar um giz numa cobra? É só colocar num copo de água. Aí o giz-bóia.
1796;Como se faz para ganhar um Chokito? É só colocar o dedito na tomadita.
1797;Qual é a comida que liga e desliga? Strog-on-off.
1798;O que o passarinho falou para a passarinha? Quer danoninho?
1799;O que a banana suicida falou? Macacos me mordam!
1800;O que é um pontinho roxo no fundo da piscina? Uma ervilha prendendo a respiração.
1801;Você sabe como que o português apanha frutas? Ele sobe no pé, vê se a fruta esta madura, desce e taca pedra.
1802;Qual é o país em que todos dançam a dança da bundinha? Mexicu.
1803;O que o elétron fala quando atende o telefone? Próton?
1804;O que é que quanto mais se tira mais se tem? Fotografias.
1805;O que é um cigarro de maconha em cima de um jornal? Baseado em fatos reais.
1806;O que atira no calcanhar e acerta no nariz? O pum.
1807;O que um escorregador disse para o outro? Os anos aqui passam rápido.
1808;Qual a diferença do gato para a Coca-Cola? O gato mia e a Coca Light.
1809;O que é um pontinho branco correndo no mato? É uma formiga atrasada para o casamento.
1810;O que o chão disse para a mesa? Feche as pernas que eu estou vendo tudo.
1811;O que a xícara disse para o colher? Você é pequena mas mexe bem.
1812;Qual é a diferença entre um padre e uma Mercedes? É que o padre reza e a Mercedes Benz.
1813;Por que o português põe um balde de gelo na televisão? Para congelar a imagem.
1814;Por que o pé esquerdo do português é sujo? Porque quando ele era pequeno, a mãe dele falava para ele limpar o pé direito.
1815;Quantos portugueses são necessários para afundar um submarino? Dois. Um bate na porta, o outro abre!
